阿伦方差,a'lun'fang'cha
方位引导单元,fang'wei'yin'dao'dan'yuan
防雾车边境,fang'wu'che'bian'jing
房屋高度,fang'wu'gao'du
房屋受损,fang'wu'shou'sun
放线,fang'xian
放象头,fang'xiang'tou
方向性,fang'xiang'xing
防斜插连接器,fang'xie'cha'lian'jie'qi
防胁迫,fang'xie'po
方形蓄电池,fang'xing'xu'dian'chi
防锈处理,fang'xiu'chu'li
防汛,fang'xun
防烟楼梯,fang'yan'lou'ti
防烟门,fang'yan'men
防雨,fang'yu
防雨开关,fang'yu'kai'guan
方园磨刀棒,fang'yuan'mo'dao'bang
仿真,fang'zhen
防震锤,fang'zhen'chui
方整石,fang'zheng'shi
防止风沙,fang'zhi'feng'sha
纺织姑娘,fang'zhi'gu'niang
防治规划,fang'zhi'gui'hua
防直击雷,fang'zhi'ji'lei
防止沙化,fang'zhi'sha'hua
防止水土流失,fang'zhi'shui'tu'liu'shi
方桩,fang'zhuang
防撞雷达,fang'zhuang'lei'da
啡白根,fei'bai'gen
飞镖,fei'biao
非标注构件,fei'biao'zhu'gou'jian
飞播造林,fei'bo'zao'lin
非不利季节,fei'bu'li'ji'jie
非参数方法,fei'can'shu'fang'fa
非常可惜,fei'chang'ke'xi
非常苦难,fei'chang'ku'nan
废词,fei'ci
肺磁描记术,fei'ci'miao'ji'shu
飞点扫描仪,fei'dian'sao'miao'yi
非典型肺炎,fei'dian'xing'fei'yan
非点源,fei'dian'yuan
费掉,fei'diao
非共格晶界,fei'gong'ge'jing'jie
啡红根,fei'hong'gen
啡皇,fei'huang
飞机场测量,fei'ji'chang'ce'liang
飞机洞库测量,fei'ji'dong'ku'ce'liang
非加密区,fei'jia'mi'qu
飞溅,fei'jian
非晶磁性材料,fei'jing'ci'xing'cai'liao
非晶硅,fei'jing'gui
非均匀展宽,fei'jun'yun'zhan'kuan
非抗震,fei'kang'zhen
非可溶岩,fei'ke'rong'yan
非可视,fei'ke'shi
匪里匪气,fei'li'fei'qi
肥料效率,fei'liao'xiao'lv
啡窿石,fei'long'shi
飞轮鞋,fei'lun'xie
啡梦幻,fei'meng'huan
菲涅耳数,fei'nie'er'shu
非平衡载流子,fei'ping'heng'zai'liu'zi
非平稳信道,fei'ping'wen'xin'dao
废弃危险物品,fei'qi'wei'xian'wu'pin
废弃物,fei'qi'wu
非侵染性病害,fei'qin'ran'xing'bing'hai
啡珊瑚,fei'shan'hu
肺肾两虚,fei'shen'liang'xu
沸石,fei'shi
废水,fei'shui
啡水晶,fei'shui'jing
啡网,fei'wang
非稳定谐振腔,fei'wen'ding'xie'zhen'qiang
非卧床监护,fei'wo'chuang'jian'hu
非线绕电位器,fei'xian'rao'dian'wei'qi
非线性光混频,fei'xian'xing'guang'hun'pin
非线性回归,fei'xian'xing'hui'gui
非相干检测,fei'xiang'gan'jian'ce
飞扬,fei'yang
费用,fei'yong
费用定额,fei'yong'ding'e
费用类别,fei'yong'lei'bie
肺俞,fei'yu
非匀相成核,fei'yun'xiang'cheng'he
肥皂架,fei'zao'jia
啡珍珠,fei'zhen'zhu
非终结符,fei'zhong'jie'fu
非洲红,fei'zhou'hong
非洲柚,fei'zhou'you
非洲柚木,fei'zhou'you'mu
肺主气,fei'zhu'qi
啡钻麻,fei'zuan'ma
粉柏,fen'bai
分贝,fen'bei
分辨带宽,fen'bian'dai'kuan
分布,fen'bu
分布范围,fen'bu'fan'wei
分布范围内,fen'bu'fan'wei'nei
分布钢筋,fen'bu'gang'jin
分布筋,fen'bu'jin
分布面积,fen'bu'mian'ji
分布目标,fen'bu'mu'biao
分布特征,fen'bu'te'zheng
分布有,fen'bu'you
分步再生,fen'bu'zai'sheng
分层,fen'ceng
分层夯实,fen'ceng'hang'shi
分词库,fen'ci'ku
分次施肥,fen'ci'shi'fei
纷刺煜卟庀蚱,fen'ci'yu'bu'pi'zha
分带,fen'dai
粉单竹,fen'dan'zhu
粉蝶米黄,fen'die'mi'huang
分段计费,fen'duan'ji'fei
分格条,fen'ge'tiao
分行辖内往来,fen'hang'xia'nei'wang'lai
粉红金刚,fen'hong'jin'gang
粉红晶,fen'hong'jing
粉红麻,fen'hong'ma
粉红钻,fen'hong'zuan
分季节,fen'ji'jie
分类标引,fen'lei'biao'yin
分类目录,fen'lei'mu'lu
分离多径接收,fen'li'duo'jing'jie'shou
分离力,fen'li'li
分离连接器,fen'li'lian'jie'qi
分离折叠波导,fen'li'zhe'die'bo'dao
分两步走,fen'liang'bu'zou
粉领丽人,fen'ling'li'ren
分流,fen'liu
分流计,fen'liu'ji
分米波通信,fen'mi'bo'tong'xin
粉末电致发光,fen'mo'dian'zhi'fa'guang
分蘖力,fen'nie'li
分凝系数,fen'ning'xi'shu
分配器,fen'pei'qi
分配曲线,fen'pei'qu'xian
分配数列,fen'pei'shu'lie
粉喷桩,fen'pen'zhuang
酚醛保温板材,fen'quan'bao'wen'ban'cai
酚醛磁化漆,fen'quan'ci'hua'qi
酚醛地板漆,fen'quan'di'ban'qi
酚醛防锈漆,fen'quan'fang'xiu'qi
酚醛耐酸漆,fen'quan'nai'suan'qi
酚醛清漆,fen'quan'qing'qi
酚醛调和漆,fen'quan'tiao'he'qi
粉砂,fen'sha
分述如下,fen'shu'ru'xia
粉刷,fen'shua
粉刷涂料,fen'shua'tu'liao
分水尖,fen'shui'jian
分水岭,fen'shui'ling
分水线,fen'shui'xian
分台阶,fen'tai'jie
分体门禁,fen'ti'men'jin
坟头组,fen'tou'zu
粉土,fen'tu
粉细砂,fen'xi'sha
分析样,fen'xi'yang
分析资料,fen'xi'zi'liao
粉线包,fen'xian'bao
分相操作箱,fen'xiang'cao'zuo'xiang
分项系数,fen'xiang'xi'shu
分乡组,fen'xiang'zu
分心槽,fen'xin'cao
粉性土,fen'xing'tu
分选作用,fen'xuan'zuo'yong
分压分析器,fen'ya'fen'xi'qi
分压真空计,fen'ya'zhen'kong'ji
粉叶金花,fen'ye'jin'hua
分用器,fen'yong'qi
分闸线圈,fen'zha'xian'quan
分支分配器箱,fen'zhi'fen'pei'qi'xiang
分支光缆,fen'zhi'guang'lan
分支局,fen'zhi'ju
粉枝柳,fen'zhi'liu
粉质土,fen'zhi'tu
分子筛阱,fen'zi'shai'jing
分子泻流,fen'zi'xie'liu
分组交换,fen'zu'jiao'huan
分组装拆,fen'zu'zhuang'chai
风扳手,feng'ban'shou
峰包功率,feng'bao'gong'lv
封闭膏,feng'bi'gao
封闭湖泊,feng'bi'hu'po
封闭楼梯,feng'bi'lou'ti
封层,feng'ceng
风池,feng'chi
风吹不动,feng'chui'bu'dong
风吹损失,feng'chui'sun'shi
风倒,feng'dao
峰顶水位,feng'ding'shui'wei
风动螺丝起子,feng'dong'luo'si'qi'zi
风动磨光机,feng'dong'mo'guang'ji
风府,feng'fu
风干,feng'gan
风关,feng'guan
风荷载,feng'he'zai
风化程度,feng'hua'cheng'du
烽火村监测,feng'huo'cun'jian'ce
风机盘管安装,feng'ji'pan'guan'an'zhuang
峰均比,feng'jun'bi
封口,feng'kou
缝宽,feng'kuan
风浪,feng'lang
风力侵蚀,feng'li'qin'shi
凤铃木,feng'ling'mu
风流岁月,feng'liu'sui'yue
封锚,feng'mao
封面,feng'mian
枫木复合地板,feng'mu'fu'he'di'ban
枫木贴面板,feng'mu'tie'mian'ban
风炮,feng'pao
风偏,feng'pian
封墙底漆,feng'qiang'di'qi
缝纫器具,feng'ren'qi'ju
风沙流,feng'sha'liu
枫山红,feng'shan'hong
风市,feng'shi
风湿,feng'shi
丰水年,feng'shui'nian
峰特力工具,feng'te'li'gong'ju
风筒式冷却塔,feng'tong'shi'leng'que'ta
凤尾兰,feng'wei'lan
蜂窝,feng'wo
风险,feng'xian
风险因素,feng'xian'yin'su
风向,feng'xiang
蜂腰榕,feng'yao'rong
凤羽花,feng'yu'hua
丰镇黑,feng'zhen'hei
峰值堵转电流,feng'zhi'du'zhuan'dian'liu
峰值功率计,feng'zhi'gong'lv'ji
峰值均值比,feng'zhi'jun'zhi'bi
封装,feng'zhuang
封装因子,feng'zhuang'yin'zi
浮白,fu'bai
副本,fu'ben
扶臂式挡土墙,fu'bi'shi'dang'tu'qiang
扶壁式挡土墙,fu'bi'shi'dang'tu'qiang
扶壁式桥台,fu'bi'shi'qiao'tai
副比特码,fu'bi'te'ma
浮标,fu'biao
覆箔板,fu'bo'ban
富产,fu'chan
浮尘,fu'chen
俯冲断层,fu'chong'duan'ceng
付村,fu'cun
赋存条件,fu'cun'tiao'jian
富达玛金,fu'da'ma'jin
傅大勇,fu'da'yong
负电子亲和势,fu'dian'zi'qin'he'shi
福鼎黑,fu'ding'hei
浮动床,fu'dong'chuang
幅度变换器,fu'du'bian'huan'qi
幅度分析器,fu'du'fen'xi'qi
幅度鉴别器,fu'du'jian'bie'qi
幅度噪声,fu'du'zao'sheng
富而好礼,fu'er'hao'li
附分,fu'fen
敷粉阴极,fu'fen'yin'ji
复耕,fu'geng
腹拱,fu'gong
符号,fu'hao
复合窗,fu'he'chuang
负荷分类,fu'he'fen'lei
复合箍,fu'he'gu
复合绝缘子,fu'he'jue'yuan'zi
复合目标,fu'he'mu'biao
负荷容量,fu'he'rong'liang
复合式路面,fu'he'shi'lu'mian
复合永磁体,fu'he'yong'ci'ti
复合早强剂,fu'he'zao'qiang'ji
负极,fu'ji
附加吊筋,fu'jia'diao'jin
附加箍筋,fu'jia'gu'jin
附加系,fu'jia'xi
附加信道广播,fu'jia'xin'dao'guang'bo
附加业务,fu'jia'ye'wu
复检,fu'jian
福建白麻,fu'jian'bai'ma
副教授,fu'jiao'shou
腹结,fu'jie
复垦后,fu'ken'hou
复垦率,fu'ken'lv
复拉丁方设计,fu'la'ding'fang'she'ji
弗拉索夫方程,fu'la'suo'fu'fang'cheng
腐烂,fu'lan
傅里叶分析仪,fu'li'ye'fen'xi'yi
伏流,fu'liu
复溜,fu'liu
浮笼,fu'long
福禄考,fu'lu'kao
浮脉,fu'mai
富民兴邦,fu'min'xing'bang
福木,fu'mu
妇女界,fu'nv'jie
负片,fu'pian
扶贫工程,fu'pin'gong'cheng
浮萍开花后,fu'ping'kai'hua'hou
浮桥,fu'qiao
负趋性,fu'qu'xing
芙蓉,fu'rong
芙蓉葵,fu'rong'kui
浮栅雪崩注入,fu'shan'xue'beng'zhu'ru
府舍,fu'she
敷设,fu'she
辐射保藏,fu'she'bao'cang
辐射报警装置,fu'she'bao'jing'zhuang'zhi
辐射测井装置,fu'she'ce'jing'zhuang'zhi
辐射传感器,fu'she'chuan'gan'qi
辐射管道,fu'she'guan'dao
辐射含量计,fu'she'han'liang'ji
辐射能谱仪,fu'she'neng'pu'yi
辐射试验,fu'she'shi'yan
腐蚀,fu'shi
复数磁导率,fu'shu'ci'dao'lv
伏塔克,fu'ta'ke
伏特表,fu'te'biao
腹通谷,fu'tong'gu
覆土,fu'tu
附图,fu'tu
伏兔,fu'tu
扶突,fu'tu
浮脱工艺,fu'tuo'gong'yi
复位,fu'wei
复位触发器,fu'wei'chu'fa'qi
负微分迁移率,fu'wei'fen'qian'yi'lv
复位力,fu'wei'li
服务等级,fu'wu'deng'ji
服务业,fu'wu'ye
浮郄,fu'xi
负吸收,fu'xi'shou
幅相图,fu'xiang'tu
付新建,fu'xin'jian
跗阳,fu'yang
复印效应,fu'yin'xiao'ying
富营养湖,fu'ying'yang'hu
富营养化,fu'ying'yang'hua
复用水系统,fu'yong'shui'xi'tong
复用转换,fu'yong'zhuan'huan
浮游生物,fu'you'sheng'wu
复羽叶栾树,fu'yu'ye'luan'shu
抚育幼苗,fu'yu'you'miao
浮运架桥,fu'yun'jia'qiao
负载比,fu'zai'bi
负债,fu'zhai
辐照量,fu'zhao'liang
辐照率,fu'zhao'lv
辐照室,fu'zhao'shi
复帧,fu'zhen
扶正固本,fu'zheng'gu'ben
附值,fu'zhi
幅值控制,fu'zhi'kong'zhi
附注,fu'zhu
辅助参考脉冲,fu'zhu'can'kao'mai'chong
辅助光源,fu'zhu'guang'yuan
辅助腔,fu'zhu'qiang
辅助生产,fu'zhu'sheng'chan
辅助照明,fu'zhu'zhao'ming
盖板,gai'ban
盖层,gai'ceng
改建,gai'jian
改建成,gai'jian'cheng
改扩建矿山,gai'kuo'jian'kuang'shan
改良系谱法,gai'liang'xi'pu'fa
改善环境,gai'shan'huan'jing
改善气候,gai'shan'qi'hou
改算,gai'suan
概算,gai'suan
概算表,gai'suan'biao
概算依据,gai'suan'yi'ju
概算指标,gai'suan'zhi'biao
改性聚乙烯,gai'xing'ju'yi'xi
改性乳化沥青,gai'xing'ru'hua'li'qing
改正性维护,gai'zheng'xing'wei'hu
杆插销,gan'cha'xiao
干充电电池,gan'chong'dian'dian'chi
干电池,gan'dian'chi
干放电电池,gan'fang'dian'dian'chi
干粉腻子,gan'fen'ni'zi
干粉型,gan'fen'xing
干粉型胶粘剂,gan'fen'xing'jiao'zhan'ji
干封真空泵,gan'feng'zhen'kong'beng
甘服,gan'fu
杆高,gan'gao
干挂大理石,gan'gua'da'li'shi
感光,gan'guang
干果,gan'guo
干旱,gan'han
干旱的气候,gan'han'de'qi'hou
干旱气候,gan'han'qi'hou
秆黑粉病,gan'hei'fen'bing
干湖,gan'hu
干灰化,gan'hui'hua
肝火上炎,gan'huo'shang'yan
干脚气,gan'jiao'qi
柑桔大实蝇,gan'ju'da'shi'ying
柑桔锈螨,gan'ju'xiu'man
橄榄,gan'lan
橄榄树,gan'lan'shu
甘蓝型油菜,gan'lan'xing'you'cai
肝脾不和,gan'pi'bu'he
干砌石,gan'qi'shi
干渠,gan'qu
干扰测量仪,gan'rao'ce'liang'yi
干扰方程,gan'rao'fang'cheng
干热风,gan're'feng
干热期,gan're'qi
干容重,gan'rong'zhong
肝肾阴虚,gan'shen'yin'xu
干式冷却塔,gan'shi'leng'que'ta
干式通气管,gan'shi'tong'qi'guan
干式消防立管,gan'shi'xiao'fang'li'guan
甘薯,gan'shu
甘肃山楂,gan'su'shan'zha
甘遂,gan'sui
杆塔号,gan'ta'hao
杆塔型式,gan'ta'xing'shi
干溪,gan'xi
干线,gan'xian
干形,gan'xing
秆锈病,gan'xiu'bing
干哑,gan'ya
干盐湖,gan'yan'hu
肝阳上亢,gan'yang'shang'kang
干硬性混凝土,gan'ying'xing'hun'ning'tu
感应移相器,gan'ying'yi'xiang'qi
肝俞,gan'yu
干燥,gan'zao
甘蔗,gan'zhe
干砧,gan'zhen
干支,gan'zhi
干枝梅,gan'zhi'mei
肝主筋,gan'zhu'jin
钢板,gang'ban
钢板网吊顶,gang'ban'wang'diao'ding
钢板网顶棚,gang'ban'wang'ding'peng
钢板网隔断,gang'ban'wang'ge'duan
钢板网抹灰,gang'ban'wang'mo'hui
钢板闸门,gang'ban'zha'men
钢并沟线夹,gang'bing'gou'xian'jia
钢材表,gang'cai'biao
钢防火卷帘门,gang'fang'huo'juan'lian'men
杠杆弯沉义,gang'gan'wan'chen'yi
钢骨钢筋,gang'gu'gang'jin
钢管,gang'guan
钢管脚手架,gang'guan'jiao'shou'jia
钢管栏杆,gang'guan'lan'gan
钢管套袖,gang'guan'tao'xiu
刚管调制器,gang'guan'tiao'zhi'qi
杠横,gang'heng
刚架,gang'jia
钢筋,gang'jin
钢筋翻样,gang'jin'fan'yang
钢筋混凝土,gang'jin'hun'ning'tu
钢筋混凝土管,gang'jin'hun'ning'tu'guan
钢筋混凝土桥,gang'jin'hun'ning'tu'qiao
钢筋拉伸机,gang'jin'la'shen'ji
钢筋冷镦机,gang'jin'leng'dun'ji
钢筋笼,gang'jin'long
钢筋切断机,gang'jin'qie'duan'ji
钢筋弯曲机,gang'jin'wan'qu'ji
钢筋网片,gang'jin'wang'pian
钢筋制安,gang'jin'zhi'an
钢筋砖过梁,gang'jin'zhuan'guo'liang
钢筋砖砌体,gang'jin'zhuan'qi'ti
港口监视雷达,gang'kou'jian'shi'lei'da
杠柳,gang'liu
钢龙骨,gang'long'gu
钢驴,gang'lv
钢驴防盗门,gang'lv'fang'dao'men
肛门,gang'men
钢模板,gang'mu'ban
港人治港,gang'ren'zhi'gang
钢丝,gang'si
钢丝网隔断,gang'si'wang'ge'duan
钢砼,gang'tong
钢筒管,gang'tong'guan
钢筒混凝土管,gang'tong'hun'ning'tu'guan
钢瓦下水道,gang'wa'xia'shui'dao
港湾图,gang'wan'tu
岗位职责明确,gang'wei'zhi'ze'ming'que
钢线卡子,gang'xian'qia'zi
钢纤维混凝土,gang'xian'wei'hun'ning'tu
钢芯铝线,gang'xin'lv'xian
钢芯铜线,gang'xin'tong'xian
刚性板块,gang'xing'ban'kuai
刚性角,gang'xing'jiao
刚性就业,gang'xing'jiu'ye
刚性路基,gang'xing'lu'ji
刚性路面,gang'xing'lu'mian
纲要图,gang'yao'tu
刚毅酒壶,gang'yi'jiu'hu
冈夷条纹,gang'yi'tiao'wen
刚玉,gang'yu
钢栅栏门,gang'zha'lan'men
钢折叠门,gang'zhe'die'men
钢制,gang'zhi
钢支撑,gang'zhi'cheng
钢制管件,gang'zhi'guan'jian
刚重比,gang'zhong'bi
高层公寓,gao'ceng'gong'yu
高产草,gao'chan'cao
高产速成林,gao'chan'su'cheng'lin
高场,gao'chang
高潮,gao'chao
高程,gao'cheng
高程点,gao'cheng'dian
高处作业,gao'chu'zuo'ye
高处作业分级,gao'chu'zuo'ye'fen'ji
高纯锗谱仪,gao'chun'zhe'pu'yi
高陡,gao'dou
高陡边坡,gao'dou'bian'po
高度空穴效应,gao'du'kong'xue'xiao'ying
高毒作业场所,gao'du'zuo'ye'chang'suo
高尔夫球车,gao'er'fu'qiu'che
高负荷曝气,gao'fu'he'bao'qi
搞浑,gao'hun
高级用户电报,gao'ji'yong'hu'dian'bao
高架桥,gao'jia'qiao
高蛟红,gao'jiao'hong
高阶模,gao'jie'mo
告警指令,gao'jing'zhi'ling
高开,gao'kai
高空带,gao'kong'dai
高粱,gao'liang
高能粒子谱仪,gao'neng'li'zi'pu'yi
高频,gao'pin
高频通信,gao'pin'tong'xin
高强螺栓,gao'qiang'luo'shuan
高山积雪,gao'shan'ji'xue
高山榕,gao'shan'rong
高斯,gao'si
高斯束,gao'si'shu
高速充电,gao'su'chong'dian
高速钢刀具,gao'su'gang'dao'ju
高速公路,gao'su'gong'lu
高速扫描仪,gao'su'sao'miao'yi
锆钛酸铅陶瓷,gao'tai'suan'qian'tao'ci
高温,gao'wen
高温消化,gao'wen'xiao'hua
高效中继线,gao'xiao'zhong'ji'xian
高新健腹器,gao'xin'jian'fu'qi
高雪轮,gao'xue'lun
高压,gao'ya
高压保险,gao'ya'bao'xian
高压电缆,gao'ya'dian'lan
高压电阻器,gao'ya'dian'zu'qi
高压脚踏气筒,gao'ya'jiao'ta'qi'tong
高压开关板,gao'ya'kai'guan'ban
高压可调谐,gao'ya'ke'tiao'xie
高压钠汽灯,gao'ya'na'qi'deng
高压配电盘,gao'ya'pei'dian'pan
高压容器熔,gao'ya'rong'qi'rong
高压熔丝,gao'ya'rong'si
高压水银灯,gao'ya'shui'yin'deng
高压线,gao'ya'xian
高压验电器,gao'ya'yan'dian'qi
高液限土,gao'ye'xian'tu
高枝剪,gao'zhi'jian
疙疤儿,ge'ba'er
隔板,ge'ban
戈壁麻,ge'bi'ma
各层竖井内,ge'ceng'shu'jing'nei
各触探点,ge'chu'tan'dian
铬带,ge'dai
隔断,ge'duan
隔断板,ge'duan'ban
镉汞电池,ge'gong'dian'chi
膈关,ge'guan
隔火墙,ge'huo'qiang
隔火设施,ge'huo'she'shi
割集码,ge'ji'ma
格拉斯霍夫数,ge'la'si'huo'fu'shu
各类报告,ge'lei'bao'gao
各类相关,ge'lei'xiang'guan
各类资料,ge'lei'zi'liao
隔离孔,ge'li'kong
格林电动工具,ge'lin'dian'dong'gong'ju
哥仑布红,ge'lun'bu'hong
格罗夫模型,ge'luo'fu'mo'xing
格码,ge'ma
隔膜,ge'mo
隔膜真空计,ge'mo'zhen'kong'ji
格片散光罩,ge'pian'san'guang'zhao
隔坡梯田,ge'po'ti'tian
搁起,ge'qi
隔气层,ge'qi'ceng
隔气层涂料,ge'qi'ceng'tu'liao
隔墙封纸,ge'qiang'feng'zhi
隔墙轻龙骨,ge'qiang'qing'long'gu
隔热,ge're
隔热玻璃,ge're'bo'li
隔热地板,ge're'di'ban
隔热混凝土,ge're'hun'ning'tu
割肉,ge'rou
格桑花开,ge'sang'hua'kai
隔声垫,ge'sheng'dian
隔声工程,ge'sheng'gong'cheng
格式化工具,ge'shi'hua'gong'ju
格式化硬盘,ge'shi'hua'ying'pan
隔水层,ge'shui'ceng
个体,ge'ti
格条,ge'tiao
各项施工,ge'xiang'shi'gong
隔音层,ge'yin'ceng
隔音混凝土,ge'yin'hun'ning'tu
镉银蓄电池,ge'yin'xu'dian'chi
膈俞,ge'yu
葛枣子,ge'zao'zi
格状框条,ge'zhuang'kuang'tiao
格状网,ge'zhuang'wang
给水表,gei'shui'biao
给水度,gei'shui'du
给水额定流量,gei'shui'e'ding'liu'liang
给水管线,gei'shui'guan'xian
给水立管,gei'shui'li'guan
根菜类蔬菜,gen'cai'lei'shu'cai
根轨迹法,gen'gui'ji'fa
根据,gen'ju
根瘤菌剂,gen'liu'jun'ji
根梅尔,gen'mei'er
跟年纪,gen'nian'ji
根线虫病,gen'xian'chong'bing
根肿病,gen'zhong'bing
跟踪,gen'zong
跟踪管理,gen'zong'guan'li
跟踪监察,gen'zong'jian'cha
跟踪雷达,gen'zong'lei'da
更多,geng'duo
更换,geng'huan
更新世,geng'xin'shi
耕植,geng'zhi
耕植客土,geng'zhi'ke'tu
耕植土,geng'zhi'tu
耕作机具,geng'zuo'ji'ju
攻搏,gong'bo
工程编号,gong'cheng'bian'hao
工程措施,gong'cheng'cuo'shi
工程地震,gong'cheng'di'zhen
工程地质勘察,gong'cheng'di'zhi'kan'cha
工程点,gong'cheng'dian
工程范围,gong'cheng'fan'wei
工程活动,gong'cheng'huo'dong
工程勘察设计,gong'cheng'kan'cha'she'ji
工程量清单,gong'cheng'liang'qing'dan
工程手段,gong'cheng'shou'duan
工程为,gong'cheng'wei
工程造价管理,gong'cheng'zao'jia'guan'li
工程造林,gong'cheng'zao'lin
工程钻机,gong'cheng'zuan'ji
公称最大粒径,gong'cheng'zui'da'li'jing
汞池阴极,gong'chi'yin'ji
汞池整流管,gong'chi'zheng'liu'guan
巩丹茹,gong'dan'ru
宫灯,gong'deng
工地转移费,gong'di'zhuan'yi'fei
供电干线,gong'dian'gan'xian
供电回路,gong'dian'hui'lu
共淀积,gong'dian'ji
供电机组,gong'dian'ji'zu
弓度,gong'du
共轭断层,gong'e'duan'ceng
共轭节理,gong'e'jie'li
宫粉紫荆,gong'fen'zi'jing
共格晶界,gong'ge'jing'jie
公共档案,gong'gong'dang'an
公共照明,gong'gong'zhao'ming
公共走道,gong'gong'zou'dao
公害,gong'hai
汞弧整流管,gong'hu'zheng'liu'guan
公贿,gong'hui
共焦谐振腔,gong'jiao'xie'zhen'qiang
工具,gong'ju
工具名称,gong'ju'ming'cheng
工可,gong'ke
工可报告,gong'ke'bao'gao
公历,gong'li
公路,gong'lu
公路景观设计,gong'lu'jing'guan'she'ji
共路信令,gong'lu'xin'ling
公螺纹,gong'luo'wen
功率电子学,gong'lv'dian'zi'xue
功率管理,gong'lv'guan'li
功率谱估计,gong'lv'pu'gu'ji
公母石,gong'mu'shi
公母石村,gong'mu'shi'cun
功能码,gong'neng'ma
功能陶瓷,gong'neng'tao'ci
功能叶,gong'neng'ye
功能饮料,gong'neng'yin'liao
供暖系统,gong'nuan'xi'tong
工棚,gong'peng
公平信实,gong'ping'xin'shi
工期定额,gong'qi'ding'e
供气管,gong'qi'guan
汞气管,gong'qi'guan
供气管道,gong'qi'guan'dao
拱桥,gong'qiao
拱上侧墙,gong'shang'ce'qiang
拱上结构,gong'shang'jie'gou
共实测,gong'shi'ce
共施工,gong'shi'gong
供水所,gong'shui'suo
公孙,gong'sun
共心谐振腔,gong'xin'xie'zhen'qiang
弓形湖,gong'xing'hu
弓形支架,gong'xing'zhi'jia
工序检验,gong'xu'jian'yan
供氧气量,gong'yang'qi'liang
工业废渣,gong'ye'fei'zha
工业废渣基层,gong'ye'fei'zha'ji'ceng
工业化发展,gong'ye'hua'fa'zhan
工业用擦拭纸,gong'ye'yong'ca'shi'zhi
工业原料林,gong'ye'yuan'liao'lin
工艺品,gong'yi'pin
供应,gong'ying
共用接地,gong'yong'jie'di
共用网,gong'yong'wang
共用线,gong'yong'xian
拱胀,gong'zhang
宫兆清,gong'zhao'qing
共振,gong'zhen
公锥,gong'zhui
工作桥,gong'zuo'qiao
工作站,gong'zuo'zhan
沟边埂,gou'bian'geng
苟不教性乃迁,gou'bu'jiao'xing'nai'qian
沟槽,gou'cao
沟道技术,gou'dao'ji'shu
沟道密度,gou'dao'mi'du
勾缝,gou'feng
构骨,gou'gu
沟谷,gou'gu
沟壑密度,gou'he'mi'du
钩缓,gou'huan
构架安装,gou'jia'an'zhuang
构件,gou'jian
构件支撑,gou'jian'zhi'cheng
沟垄耕作,gou'long'geng'zuo
购买力,gou'mai'li
沟蚀,gou'shi
构树,gou'shu
垢下腐蚀,gou'xia'fu'shi
构造,gou'zao
构造边缘构件,gou'zao'bian'yuan'gou'jian
构造窗,gou'zao'chuang
构造单元,gou'zao'dan'yuan
构造复合,gou'zao'fu'he
构造格架,gou'zao'ge'jia
构造湖,gou'zao'hu
构造筋,gou'zao'jin
构造盆地,gou'zao'pen'di
构造圈,gou'zao'quan
构造深度,gou'zao'shen'du
构造体系,gou'zao'ti'xi
构造物理学,gou'zao'wu'li'xue
构造详图,gou'zao'xiang'tu
构造形迹,gou'zao'xing'ji
构造旋回,gou'zao'xuan'hui
构造柱,gou'zao'zhu
构造主要,gou'zao'zhu'yao
古堡灰,gu'bao'hui
古代稀,gu'dai'xi
古地磁,gu'di'ci
古地磁极,gu'di'ci'ji
古地震,gu'di'zhen
古典金麻,gu'dian'jin'ma
古典米黄,gu'dian'mi'huang
固定布水器,gu'ding'bu'shui'qi
固定单价,gu'ding'dan'jia
固定电感器,gu'ding'dian'gan'qi
固定电容器,gu'ding'dian'rong'qi
固定回波,gu'ding'hui'bo
固定连接器,gu'ding'lian'jie'qi
固定论,gu'ding'lun
固定模型,gu'ding'mo'xing
固定剖面,gu'ding'pou'mian
固定装置,gu'ding'zhuang'zhi
固定资产,gu'ding'zi'chan
固定总价,gu'ding'zong'jia
股东,gu'dong
固端,gu'duan
谷坊,gu'fang
孤峰组,gu'feng'zu
估计,gu'ji
骨架,gu'jia
古金褐,gu'jin'he
古近纪,gu'jin'ji
谷壳分离,gu'ke'fen'li
骨料,gu'liao
鼓楼,gu'lou
古鹿锻压机床,gu'lu'duan'ya'ji'chuang
古木纹,gu'mu'wen
姑娘漂亮,gu'niang'piao'liang
估评,gu'ping
固坡,gu'po
固溶度,gu'rong'du
固溶体半导体,gu'rong'ti'ban'dao'ti
股事,gu'shi
孤石,gu'shi
估算,gu'suan
估算指标,gu'suan'zhi'biao
固态磁控管,gu'tai'ci'kong'guan
固态敏感器,gu'tai'min'gan'qi
固态调制器,gu'tai'tiao'zhi'qi
固体潮,gu'ti'chao
固体负荷,gu'ti'fu'he
固体径流,gu'ti'jing'liu
古土壤,gu'tu'rang
古纬度,gu'wei'du
股息,gu'xi
固相外延,gu'xiang'wai'yan
固相线,gu'xiang'xian
古新世,gu'xin'shi
固有滤过,gu'you'lv'guo
固有品质因数,gu'you'pin'zhi'yin'shu
故障,gu'zhang
古装明星,gu'zhuang'ming'xing
孤子激光器,gu'zi'ji'guang'qi
瓜栱,gua'gong
挂钩,gua'gou
刮腻子,gua'ni'zi
挂网喷草,gua'wang'pen'cao
瓜子栱,gua'zi'gong
