啊安多哈尔,a'an'duo'ha'er
菲尔班德劳拉,fei'er'ban'de'lao'la
非凡猎者菲莱特,fei'fan'lie'zhe'fei'lai'te
菲拉速射,fei'la'su'she
废土行者护腿,fei'tu'xing'zhe'hu'tui
废土行者肩甲,fei'tu'xing'zhe'jian'jia
废土行者头盔,fei'tu'xing'zhe'tou'kui
飞星神像,fei'xing'shen'xiang
奋不顾身,fen'bu'gu'shen
芬顿加德蒙特,fen'dun'jia'de'meng'te
焚化,fen'hua
分解,fen'jie
芬克恩霍尔为您效劳,fen'ke'en'huo'er'wei'nin'xiao'lao
愤怒,fen'nu
愤怒的凯拉,fen'nu'de'kai'la
愤怒光环,fen'nu'guang'huan
愤怒控制,fen'nu'kong'zhi
愤怒圣印,fen'nu'sheng'yin
愤怒腿甲,fen'nu'tui'jia
愤怒之锤,fen'nu'zhi'chui
愤怒之门安加萨,fen'nu'zhi'men'an'jia'sa
粉碎,fen'sui
粉碎一击,fen'sui'yi'ji
粉碎者,fen'sui'zhe
焚心,fen'xin
风暴打击,feng'bao'da'ji
风暴打击之锤,feng'bao'da'ji'zhi'chui
风暴男爵巴若斯,feng'bao'nan'jue'ba'ruo'si
风暴碎裂者夏鲁,feng'bao'sui'lie'zhe'xia'lu
风暴语者格瑞南,feng'bao'yu'zhe'ge'rui'nan
风暴震击,feng'bao'zhen'ji
风暴之刺,feng'bao'zhi'ci
风暴之火,feng'bao'zhi'huo
风暴之王的复仇,feng'bao'zhi'wang'de'fu'chou
风暴之眼,feng'bao'zhi'yan
缝合场飞刀,feng'he'chang'fei'dao
缝合场肩垫,feng'he'chang'jian'dian
缝合憎恶,feng'he'zeng'wu
凤凰双刃,feng'huang'shuang'ren
疯狂的艾格梵,feng'kuang'de'ai'ge'fan
风怒灌注,feng'nu'guan'zhu
风怒图腾,feng'nu'tu'teng
风怒武器,feng'nu'wu'qi
风哨格尔威,feng'shao'ge'er'wei
奉献,feng'xian
风行者希尔瓦娜斯女王,feng'xing'zhe'xi'er'wa'na'si'nv'wang
封印命运,feng'yin'ming'yun
风语者护腕,feng'yu'zhe'hu'wan
风之先知塔如斯,feng'zhi'xian'zhi'ta'ru'si
风之先知学徒祖格纳,feng'zhi'xian'zhi'xue'tu'zu'ge'na
风之优雅图腾,feng'zhi'you'ya'tu'teng
否决飞镖,fou'jue'fei'biao
腐败毒药,fu'bai'du'yao
复仇,fu'chou
复仇打击,fu'chou'da'ji
复仇骨帽,fu'chou'gu'mao
复仇计划,fu'chou'ji'hua
复仇角斗士的穿刺之触,fu'chou'jiao'dou'shi'de'chuan'ci'zhi'chu
复仇角斗士的利斧,fu'chou'jiao'dou'shi'de'li'fu
复仇角斗士的魔能,fu'chou'jiao'dou'shi'de'mo'neng
复仇角斗士的碎骨锤,fu'chou'jiao'dou'shi'de'sui'gu'chui
复仇角斗士的外套,fu'chou'jiao'dou'shi'de'wai'tao
复仇角斗士的震撼,fu'chou'jiao'dou'shi'de'zhen'han
复仇披风,fu'chou'pi'feng
复仇者之盾,fu'chou'zhe'zhi'dun
复仇者佐弗斯,fu'chou'zhe'zuo'fu'si
复仇之怒,fu'chou'zhi'nu
复仇之心魔印,fu'chou'zhi'xin'mo'yin
附骨之影,fu'gu'zhi'ying
浮光之戒,fu'guang'zhi'jie
腐化的伊克萨莫斯,fu'hua'de'yi'ke'sa'mo'si
腐化者弥米惠普尔沙德,fu'hua'zhe'mi'mi'hui'pu'er'sha'de
缚魂者那延,fu'hun'zhe'na'yan
复活术,fu'huo'shu
复活者的利斧,fu'huo'zhe'de'li'fu
伏击,fu'ji
腐烂的孢子,fu'lan'de'bao'zi
腐烂的约翰尼,fu'lan'de'yue'han'ni
富兰克林皮尔斯大公,fu'lan'ke'lin'pi'er'si'da'gong
弗兰鸦祸,fu'lan'ya'huo
弗雷克斯耐普利克斯,fu'lei'ke'si'nai'pu'li'ke'si
弗林德拉瑟伯加,fu'lin'de'la'se'bo'jia
弗林特沙多摩尔,fu'lin'te'sha'duo'mo'er
福命奈拉,fu'ming'nai'la
复生,fu'sheng
腐蚀术,fu'shi'shu
腐蚀者米娅斯,fu'shi'zhe'mi'ya'si
弗塔根要塞,fu'ta'gen'yao'sai
弗塔根要塞公爵伯瓦尔,fu'ta'gen'yao'sai'gong'jue'bo'wa'er
覆体之影,fu'ti'zhi'ying
符文打击,fu'wen'da'ji
符文灵魂之剑,fu'wen'ling'hun'zhi'jian
符文刃舞,fu'wen'ren'wu
符文之歌,fu'wen'zhi'ge
复原之靴,fu'yuan'zhi'xue
缚咒者菲安娜,fu'zhou'zhe'fei'an'na
盖克麦特,gai'ke'mai'te
盖摩恩,gai'mo'en
盖瑞尔斯召特,gai'rui'er'si'zhao'te
赶尽杀绝,gan'jin'sha'jue
感染之伤,gan'ran'zhi'shang
钢角守卫,gang'jiao'shou'wei
钢铁勇气,gang'tie'yong'qi
钢鹰强弩,gang'ying'qiang'nu
高地上的朋友,gao'di'shang'de'peng'you
高贵的尤拉,gao'gui'de'you'la
高贵的院长之杖,gao'gui'de'yuan'zhang'zhi'zhang
高级指挥官哈尔弗维姆班恩,gao'ji'zhi'hui'guan'ha'er'fu'wei'mu'ban'en
高阶导师坎普贝尔,gao'jie'dao'shi'kan'pu'bei'er
高阶督军萨鲁法尔,gao'jie'du'jun'sa'lu'fa'er
高阶法师手套,gao'jie'fa'shi'shou'tao
高阶法师伊乌莉,gao'jie'fa'shi'yi'wu'li
高兹焰拳,gao'zi'yan'quan
格拉库斯,ge'la'ku'si
格拉姆雷颚,ge'la'mu'lei'e
格雷森沙东布瑞克公爵,ge'lei'sen'sha'dong'bu'rui'ke'gong'jue
格雷泽格勒伯霍克,ge'lei'ze'ge'le'bo'huo'ke
格里高利费雷姆维克,ge'li'gao'li'fei'lei'mu'wei'ke
格里兹里克斯帕克海克斯,ge'li'zi'li'ke'si'pa'ke'hai'ke'si
割裂,ge'lie
格鲁棘鬃,ge'lu'ji'zong
格鲁马尔代斯格尔,ge'lu'ma'er'dai'si'ge'er
格伦姆德刃祸,ge'lun'mu'de'ren'huo
格伦特付方,ge'lun'te'fu'fang
格罗姆菲瑞斯,ge'luo'mu'fei'rui'si
格罗姆高保卫战,ge'luo'mu'gao'bao'wei'zhan
格瑞佛,ge'rui'fo
格瑞南的细语,ge'rui'nan'de'xi'yu
格瑞斯麦尔,ge'rui'si'mai'er
割伤,ge'shang
格旺硬皮,ge'wang'ying'pi
戈泽克,ge'ze'ke
给乱风岗的紧急信件,gei'luan'feng'gang'de'jin'ji'xin'jian
根基图腾,gen'ji'tu'teng
工匠毕克西布鲁,gong'jiang'bi'ke'xi'bu'lu
工匠大师欧沃斯巴克,gong'jiang'da'shi'ou'wo'si'ba'ke
共同的努力,gong'tong'de'nu'li
工头奥菲斯特,gong'tou'ao'fei'si'te
工头沙维尔,gong'tou'sha'wei'er
公正复仇,gong'zheng'fu'chou
公正光环,gong'zheng'guang'huan
公正圣印,gong'zheng'sheng'yin
公正之剑,gong'zheng'zhi'jian
骨寒魔杖,gu'han'mo'zhang
骨火,gu'huo
古旧的屠杀长剑,gu'jiu'de'tu'sha'chang'jian
古旧宽剑,gu'jiu'kuan'jian
古拉巴什矮人摧毁者,gu'la'ba'shi'ai'ren'cui'hui'zhe
古拉巴什竞技场,gu'la'ba'shi'jing'ji'chang
古鲁格萨利刃,gu'lu'ge'sa'li'ren
古罗顿秘宝守卫,gu'luo'dun'mi'bao'shou'wei
骨墙西姆斯,gu'qiang'xi'mu'si
古若比利,gu'ruo'bi'li
古斯塔夫神父,gu'si'ta'fu'shen'fu
骨头山克,gu'tou'shan'ke
古王堡垒,gu'wang'bao'lei
鼓舞祷言,gu'wu'dao'yan
鼓舞人心的阿德里安妮,gu'wu'ren'xin'de'a'de'li'an'ni
鼓舞者凯尔艾,gu'wu'zhe'kai'er'ai
故障,gu'zhang
观察者之盾,guan'cha'zhe'zhi'dun
光辉圣契,guang'hui'sheng'qi
光明灌注,guang'ming'guan'zhu
光明护鞘,guang'ming'hu'qiao
光明护卫者指环,guang'ming'hu'wei'zhe'zhi'huan
光明前的黑暗,guang'ming'qian'de'hei'an
光明圣印,guang'ming'sheng'yin
光明勋章,guang'ming'xun'zhang
光明之触,guang'ming'zhi'chu
光明之泉,guang'ming'zhi'quan
光誓者奥琳娜,guang'shi'zhe'ao'lin'na
光誓者菲娅,guang'shi'zhe'fei'ya
光誓者夏娜塔,guang'shi'zhe'xia'na'ta
光之守护,guang'zhi'shou'hu
光之守卫迦洛斯,guang'zhi'shou'wei'jia'luo'si
光之守卫萨文,guang'zhi'shou'wei'sa'wen
归还,gui'huan
鬼魂镰刀,gui'hun'lian'dao
诡计法杖,gui'ji'fa'zhang
鬼魅的召唤,gui'mei'de'zhao'huan
鬼魅记忆斗篷,gui'mei'ji'yi'dou'peng
皈依,gui'yi
鬼影缠身,gui'ying'chan'shen
诡诈者洛达格,gui'zha'zhe'luo'da'ge
刽子手吉拉,gui'zi'shou'ji'la
滚雷,gun'lei
过度暴力,guo'du'bao'li
果决的布朗提,guo'jue'de'bu'lang'ti
国王护卫者,guo'wang'hu'wei'zhe
国王吉恩格雷迈恩,guo'wang'ji'en'ge'lei'mai'en
国王穆克拉,guo'wang'mu'ke'la
国王铜须麦格尼,guo'wang'tong'xu'mai'ge'ni
哈拉瓦,ha'la'wa
哈兰,ha'lan
哈岚托暗步,ha'lan'tuo'an'bu
哈伦,ha'lun
哈罗娜傲鬃,ha'luo'na'ao'zong
哈努姆火腹,ha'nu'mu'huo'fu
哈特拉斯,ha'te'la'si
哈兹洛墨德沙戈尔,ha'zi'luo'mo'de'sha'ge'er
海报娜莉,hai'bao'na'li
海潮爆发,hai'chao'bao'fa
海迪斯,hai'di'si
海尔文,hai'er'wen
骸骨军马,hai'gu'jun'ma
海克托星芒,hai'ke'tuo'xing'mang
海狼之戒,hai'lang'zhi'jie
海伦娜魔焰,hai'lun'na'mo'yan
骇人容貌,hai'ren'rong'mao
海水钳嘴龟,hai'shui'qian'zui'gui
海象人风筝,hai'xiang'ren'feng'zheng
海洋女神,hai'yang'nv'shen
寒冰倒刺,han'bing'dao'ci
寒冰护卫者,han'bing'hu'wei'zhe
寒冰箭,han'bing'jian
寒冰墓穴,han'bing'mu'xue
寒冰男爵罗克,han'bing'nan'jue'luo'ke
寒冰屏障,han'bing'ping'zhang
寒冰手斯皮高戈普,han'bing'shou'si'pi'gao'ge'pu
寒冰锁链,han'bing'suo'lian
寒冰陷阱,han'bing'xian'jing
寒冰新星,han'bing'xin'xing
寒冰折磨,han'bing'zhe'mo
寒冰指,han'bing'zhi
寒冰指环,han'bing'zhi'huan
寒冷长棍,han'leng'chang'gun
寒鳞胸甲,han'lin'xiong'jia
汉索尔光卫,han'suo'er'guang'wei
汉西野覆,han'xi'ye'fu
寒夜杰林尼,han'ye'jie'lin'ni
好战本性,hao'zhan'ben'xing
好战者辛拜瓦,hao'zhan'zhe'xin'bai'wa
合击,he'ji
赫洛德的护甲,he'luo'de'de'hu'jia
赫米特奈辛瓦里,he'mi'te'nai'xin'wa'li
合适的弓弦,he'shi'de'gong'xian
赫丝,he'si
和谐的凯蓝德,he'xie'de'kai'lan'de
黑暗忏悔,hei'an'chan'hui
黑暗承诺,hei'an'cheng'nuo
黑暗的地平线,hei'an'de'di'ping'xian
黑暗命令,hei'an'ming'ling
黑暗魔钢护腕,hei'an'mo'gang'hu'wan
黑暗牧师乔卡斯塔,hei'an'mu'shi'qiao'ka'si'ta
黑暗披风,hei'an'pi'feng
黑暗契约,hei'an'qi'yue
黑暗强夺,hei'an'qiang'duo
黑暗歪曲者科恩,hei'an'wai'qu'zhe'ke'en
黑暗召唤,hei'an'zhao'huan
黑暗制裁,hei'an'zhi'cai
黑暗之触,hei'an'zhi'chu
黑暗之影,hei'an'zhi'ying
黑暗执政官费伦,hei'an'zhi'zheng'guan'fei'lun
黑暗中的光明,hei'an'zhong'de'guang'ming
黑暗中的声音,hei'an'zhong'de'sheng'yin
黑冰,hei'bing
黑冰菲泽弗瑞兹,hei'bing'fei'ze'fu'rui'zi
黑锋重剑,hei'feng'zhong'jian
黑龙的威胁,hei'long'de'wei'xie
黑色赦免者,hei'se'she'mian'zhe
黑心莫拉,hei'xin'mo'la
黑血,hei'xue
黑血摩尔甘尼斯,hei'xue'mo'er'gan'ni'si
黑鸦,hei'ya
黑曜石之刃,hei'yao'shi'zhi'ren
黑夜追踪者娜拉,hei'ye'zhui'zong'zhe'na'la
黑鹰腰带,hei'ying'yao'dai
恒金符文之刃,heng'jin'fu'wen'zhi'ren
恒燃者弗斯法斯,heng'ran'zhe'fu'si'fa'si
横扫攻击,heng'sao'gong'ji
横扫沙漠,heng'sao'sha'mo
恒星之斧,heng'xing'zhi'fu
轰击腰带,hong'ji'yao'dai
红龙之翼,hong'long'zhi'yi
红色王熊,hong'se'wang'xiong
红玉烈焰剑手,hong'yu'lie'yan'jian'shou
红玉强制者,hong'yu'qiang'zhi'zhe
红玉使者,hong'yu'shi'zhe
红玉守护者,hong'yu'shou'hu'zhe
红玉天爪龙人,hong'yu'tian'zhao'long'ren
红玉炎翼者,hong'yu'yan'yi'zhe
红玉追猎者,hong'yu'zhui'lie'zhe
厚皮,hou'pi
弧光打击,hu'guang'da'ji
胡鲁克光誓,hu'lu'ke'guang'shi
胡罗沙胆曲,hu'luo'sha'dan'qu
护卫者大步,hu'wei'zhe'da'bu
护卫者钢蹄,hu'wei'zhe'gang'ti
护主,hu'zhu
华丽的托马迪,hua'li'de'tuo'ma'di
怀妮斯哈利丹,huai'ni'si'ha'li'dan
怀丝柯,huai'si'ke
唤刺者阿蕾莎,huan'ci'zhe'a'lei'sha
幻化武器,huan'hua'wu'qi
还魂,huan'hun
幻境,huan'jing
唤亡者德兰德斯,huan'wang'zhe'de'lan'de'si
环雾披风,huan'wu'pi'feng
幻象仪式,huan'xiang'yi'shi
唤醒,huan'xing
唤醒圣物,huan'xing'sheng'wu
唤星者米莱姆,huan'xing'zhe'mi'lai'mu
幻影法仗,huan'ying'fa'zhang
唤月者金诺拉夜径,huan'yue'zhe'jin'nuo'la'ye'jing
恍惚,huang'hu
黄昏哀伤赛瑞恩,huang'hun'ai'shang'sai'rui'en
皇家护卫詹姆森,huang'jia'hu'wei'zhan'mu'sen
黄金时代,huang'jin'shi'dai
荒芜肩甲,huang'wu'jian'jia
荒芜腿甲,huang'wu'tui'jia
荒芜胸甲,huang'wu'xiong'jia
荒野守卫洌蕾丝,huang'ye'shou'wei'lie'lei'si
荒野修师瓦祖利,huang'ye'xiu'shi'wa'zu'li
荒野训谕,huang'ye'xun'yu
回报奥多尔,hui'bao'ao'duo'er
回报占星者,hui'bao'zhan'xing'zhe
回春术,hui'chun'shu
恢复,hui'fu
毁坏,hui'huai
毁坏击,hui'huai'ji
毁或残,hui'huo'can
灰或蛙,hui'huo'wa
灰烬女院长瑞芭,hui'jin'nv'yuan'zhang'rui'ba
灰烬之舌法杖,hui'jin'zhi'she'fa'zhang
毁灭,hui'mie
毁灭打击,hui'mie'da'ji
毁灭的故事,hui'mie'de'gu'shi
毁灭火槌,hui'mie'huo'chui
毁灭束带,hui'mie'shu'dai
毁灭王冠,hui'mie'wang'guan
毁灭之刃,hui'mie'zhi'ren
毁弃,hui'qi
毁容,hui'rong
灰舌迅刃魔,hui'she'xun'ren'mo
回收者塔图拉,hui'shou'zhe'ta'tu'la
惠特妮格雷夫考,hui'te'ni'ge'lei'fu'kao
灰熊的守护,hui'xiong'de'shou'hu
回音图腾,hui'yin'tu'teng
回转,hui'zhuan
悔罪,hui'zui
魂禁帕戈萨,hun'jin'pa'ge'sa
混乱风暴,hun'luan'feng'bao
混乱之触,hun'luan'zhi'chu
混乱撞击,hun'luan'zhuang'ji
活动炸弹,huo'dong'zha'dan
霍尔金菲格拉斯特,huo'er'jin'fei'ge'la'si'te
火红岗哨之战,huo'hong'gang'shao'zhi'zhan
活化,huo'hua
火花,huo'hua
火箭弹幕,huo'jian'dan'mu
霍柯谢熔勇,huo'ke'xie'rong'yong
霍拉提奥普雷格塔曲,huo'la'ti'ao'pu'lei'ge'ta'qu
霍莱希,huo'lai'xi
活力祷言,huo'li'dao'yan
活泼的温妮,huo'po'de'wen'ni
火球术,huo'qiu'shu
火上浇油,huo'shang'jiao'you
火舌武器,huo'she'wu'qi
火舞塔金,huo'wu'ta'jin
火焰爆裂,huo'yan'bao'lie
火焰冲击,huo'yan'chong'ji
火焰阔步者菲沙,huo'yan'kuo'bu'zhe'fei'sha
火焰女王林塞,huo'yan'nv'wang'lin'sai
火焰守卫维兰德卡恩林斯,huo'yan'shou'wei'wei'lan'de'ka'en'lin'si
火焰痛击,huo'yan'tong'ji
火焰头盔,huo'yan'tou'kui
火焰新星图腾,huo'yan'xin'xing'tu'teng
火焰震击,huo'yan'zhen'ji
火焰之弧,huo'yan'zhi'hu
火焰之雨,huo'yan'zhi'yu
火元素图腾,huo'yuan'su'tu'teng
吉安娜普罗德摩尔女士,ji'an'na'pu'luo'de'mo'er'nv'shi
疾步长靴,ji'bu'chang'xue
基布雷尔的特殊宠物,ji'bu'lei'er'de'te'shu'chong'wu
饥饿骨锤,ji'e'gu'chui
基尔金敏雀,ji'er'jin'min'que
基尔罗格之眼,ji'er'luo'ge'zhi'yan
吉尔尼斯,ji'er'ni'si
吉尔提,ji'er'ti
吉风,ji'feng
极寒冲击,ji'han'chong'ji
吉汉克,ji'han'ke
极寒之风,ji'han'zhi'feng
激活,ji'huo
寂静之林守护者格拉汉瑞,ji'jing'zhi'lin'shou'hu'zhe'ge'la'han'rui
急救员艾瓦莎,ji'jiu'yuan'ai'wa'sha
急救员玛甘,ji'jiu'yuan'ma'gan
激励之光,ji'li'zhi'guang
吉米哆,ji'mi'duo
机密协议,ji'mi'xie'yi
激怒,ji'nu
基萨巡影,ji'sa'xun'ying
祭司乔汉娜,ji'si'qiao'han'na
急速冷却,ji'su'leng'que
急速射击,ji'su'she'ji
击退,ji'tui
极限黑暗长靴,ji'xian'hei'an'chang'xue
极效暗影防护药水,ji'xiao'an'ying'fang'hu'yao'shui
击晕,ji'yun
吉兹,ji'zi
加德纳尔的势力,jia'de'na'er'de'shi'li
加尔鲁什地狱咆哮,jia'er'lu'shen'di'yu'pao'xiao
加雷特怀斯,jia'lei'te'huai'si
加强防御,jia'qiang'fang'yu
假死,jia'si
嘉斯敏冯卢铎,jia'si'min'feng'lu'duo
嘉泽瑞根,jia'ze'rui'gen
加兹瑞迪安饰物,jia'zi'rui'di'an'shi'wu
坚定的报复,jian'ding'de'bao'fu
坚定的卡尼娅,jian'ding'de'ka'ni'ya
坚定护卫,jian'ding'hu'wei
监工的制服,jian'gong'de'zhi'fu
坚固堡垒徽记,jian'gu'bao'lei'hui'ji
间接伤害,jian'jie'shang'hai
建立新据点,jian'li'xin'ju'dian
歼灭,jian'mie
歼灭者,jian'mie'zhe
简奈尔,jian'nai'er
坚韧的托克斯,jian'ren'de'tuo'ke'si
剑刃翻转,jian'ren'fan'zhuan
坚韧灌注,jian'ren'guan'zhu
剑刃乱舞,jian'ren'luan'wu
坚韧射击,jian'ren'she'ji
箭如雨下,jian'ru'yu'xia
剑师护手,jian'shi'hu'shou
减速术,jian'su'shu
尖啸射击,jian'xiao'she'ji
尖牙,jian'ya
尖牙德鲁伊麦森,jian'ya'de'lu'yi'mai'sen
坚毅光环,jian'yi'guang'huan
渐隐术,jian'yin'shu
箭造者的凤凰手套,jian'zao'zhe'de'feng'huang'shou'tao
焦点人物,jiao'dian'ren'wu
角斗士艾迪逊,jiao'dou'shi'ai'di'xun
角斗士埃梅卡,jiao'dou'shi'ai'mei'ka
角斗士伯姆,jiao'dou'shi'bo'mu
角斗士的保护,jiao'dou'shi'de'bao'hu
角斗士的法术之刃,jiao'dou'shi'de'fa'shu'zhi'ren
角斗士的徽记,jiao'dou'shi'de'hui'ji
角斗士的野性之皮,jiao'dou'shi'de'ye'xing'zhi'pi
角斗士的拯救,jiao'dou'shi'de'zheng'jiu
角斗士的重槌,jiao'dou'shi'de'zhong'chui
角斗士多恩,jiao'dou'shi'duo'en
角斗士吉丽娜,jiao'dou'shi'ji'li'na
角斗士基尼瓦斯,jiao'dou'shi'ji'ni'wa'si
角斗士卡蒂安娜,jiao'dou'shi'ka'di'an'na
角斗士卡尼亚,jiao'dou'shi'ka'ni'ya
角斗士科沃,jiao'dou'shi'ke'wo
角斗士莱诺,jiao'dou'shi'lai'nuo
角斗士兰瑟斯,jiao'dou'shi'lan'se'si
角斗士洛夫斯,jiao'dou'shi'luo'fu'si
角斗士洛雷拉,jiao'dou'shi'luo'lei'la
角斗士马格纳斯,jiao'dou'shi'ma'ge'na'si
角斗士麦格纳,jiao'dou'shi'mai'ge'na
角斗士赛匹利昂,jiao'dou'shi'sai'pi'li'ang
角斗士斯格姆,jiao'dou'shi'si'ge'mu
角斗士仔莫,jiao'dou'shi'zai'mo
教捐,jiao'juan
搅扰,jiao'rao
脚踢,jiao'ti
绞袭,jiao'xi
缴械,jiao'xie
解除陷阱,jie'chu'xian'jing
节点猎手军刀,jie'dian'lie'shou'jun'dao
杰弗里金博,jie'fu'li'jin'bo
解救祝福,jie'jiu'zhu'fu
杰可雷什,jie'ke'lei'shen
劫掠的恶鬼,jie'lue'de'e'gui
劫掠者斯戈姆,jie'lue'zhe'si'ge'mu
杰妮扰影,jie'ni'rao'ying
杰瑞卡大使,jie'rui'ka'da'shi
杰瑞娜耀拳,jie'rui'na'yao'quan
杰若德格雷彭,jie'ruo'de'ge'lei'peng
杰苏普斯麦斯,jie'su'pu'si'mai'si
杰伊曙钢,jie'yi'shu'gang
杰兹基沙恩伯格,jie'zi'ji'sha'en'bo'ge
紧缠藤蔓,jin'chan'teng'wan
禁地,jin'di
金度的裁决,jin'du'de'cai'jue
金度的厄运袋,jin'du'de'e'yun'dai
金度的邪眼,jin'du'de'xie'yan
禁断的知识,jin'duan'de'zhi'shi
金罗克伟大的天启之剑,jin'luo'ke'wei'da'de'tian'qi'zhi'jian
筋疲力尽,jin'pi'li'jin
金色月亮,jin'se'yue'liang
近身格斗,jin'shen'ge'dou
近身直击,jin'shen'zhi'ji
紧要关头,jin'yao'guan'tou
金扎暗牙,jin'zha'an'ya
精工风暴战锤,jing'gong'feng'bao'zhan'chui
惊骇,jing'hai
净化,jing'hua
精华聚焦器,jing'hua'ju'jiao'qi
净化链,jing'hua'lian
净化女巫岭,jing'hua'nv'wu'ling
精华收集者,jing'hua'shou'ji'zhe
净化者达拉莉丝,jing'hua'zhe'da'la'li'si
竞技场大师,jing'ji'chang'da'shi
荆棘谷的青山,jing'ji'gu'de'qing'shan
荆棘光环,jing'ji'guang'huan
警戒,jing'jie
警戒任务,jing'jie'ren'wu
惊惧术,jing'ju'shu
警觉的阿基蔻,jing'jue'de'a'ji'kou
精力,jing'li
精灵法师的礼物,jing'ling'fa'shi'de'li'wu
精灵链甲战靴,jing'ling'lian'jia'zhan'xue
精灵之火,jing'ling'zhi'huo
静刃芭拉,jing'ren'ba'la
精锐北伐军战士奥利卡塞加德,jing'rui'bei'fa'jun'zhan'shi'ao'li'ka'sai'jia'de
精神鞭笞,jing'shen'bian'chi
精神冲击,jing'shen'chong'ji
精神祷言,jing'shen'dao'yan
精神控制,jing'shen'kong'zhi
精神麻痹毒药,jing'shen'ma'bi'du'yao
精神协调,jing'shen'xie'tiao
精神折磨,jing'shen'zhe'mo
精神治疗,jing'shen'zhi'liao
精神灼烧,jing'shen'zhuo'shao
镜像,jing'xiang
静止,jing'zhi
精致的上古骨弓,jing'zhi'de'shang'gu'gu'gong
精制合金胸甲,jing'zhi'he'jin'xiong'jia
精准光环,jing'zhun'guang'huan
酒吧凶器,jiu'ba'xiong'qi
纠缠根须,jiu'chan'gen'xu
纠缠生长,jiu'chan'sheng'zhang
纠缠藤蔓,jiu'chan'teng'wan
究根问底,jiu'gen'wen'di
救难者托罗斯,jiu'nan'zhe'tuo'luo'si
救赎,jiu'shu
救赎圣印,jiu'shu'sheng'yin
救赎之魂,jiu'shu'zhi'hun
巨大图腾,ju'da'tu'teng
飓风,ju'feng
飓风术,ju'feng'shu
狙击手米思兰,ju'ji'shou'mi'si'lan
巨狼皮靴,ju'lang'pi'xue
狙杀,ju'sha
巨无霸背包,ju'wu'ba'bei'bao
巨型骨斧,ju'xing'gu'fu
巨熊形态,ju'xiong'xing'tai
捐献毛料,juan'xian'mao'liao
捐献魔纹布,juan'xian'mo'wen'bu
捐献丝绸,juan'xian'si'chou
绝壁观察者,jue'bi'guan'cha'zhe
爵德的头盔,jue'de'de'tou'kui
绝对均衡,jue'dui'jun'heng
攫获射击,jue'huo'she'ji
绝路祈愿,jue'lu'qi'yuan
绝路遣罪,jue'lu'qian'zui
绝望祖姆,jue'wang'zu'mu
均衡,jun'heng
均衡者埃默克,jun'heng'zhe'ai'mo'ke
军马,jun'ma
军士长普格,jun'shi'zhang'pu'ge
军团战斧,jun'tuan'zhan'fu
军械库的钥匙,jun'xie'ku'de'yao'shi
卡艾勒,ka'ai'le
卡度斯霜手,ka'du'si'shuang'shou
卡顿雷影,ka'dun'lei'ying
卡尔可夫,ka'er'ke'fu
卡拉波战甲,ka'la'bo'zhan'jia
卡拉斯日焰,ka'la'si'ri'yan
卡列克深地,ka'lie'ke'shen'di
卡罗诺尔,ka'luo'nuo'er
卡娜纳西斯,ka'na'na'xi'si
卡桑德拉焰心,ka'sang'de'la'yan'xin
卡斯女士,ka'si'nv'shi
卡塔污舌,ka'ta'wu'she
卡托卡惧刃,ka'tuo'ka'ju'ren
卡扎蒙铁皮,ka'zha'meng'tie'pi
凯恩血蹄,kai'en'xue'ti
凯尔姆哈古斯,kai'er'mu'ha'gu'si
凯尔萨斯逐日者王子,kai'er'sa'si'zhu'ri'zhe'wang'zi
凯尔坦修士,kai'er'tan'xiu'shi
凯尔温,kai'er'wen
凯拉庭卡米克尔,kai'la'ting'ka'mi'ke'er
凯莱布帕维许,kai'lai'bu'pa'wei'xu
凯雷斯亚,kai'lei'si'ya
凯琳护蔓,kai'lin'hu'man
凯欧林萨,kai'ou'lin'sa
开锁,kai'suo
开膛破肚,kai'tang'po'du
坎帕,kan'pa
看守玛尔维,kan'shou'ma'er'wei
看守纳塔沙,kan'shou'na'ta'sha
看守者德文纳,kan'shou'zhe'de'wen'na
看守者托纳林,kan'shou'zhe'tuo'na'lin
看守者心翼,kan'shou'zhe'xin'yi
抗寒图腾,kang'han'tu'teng
考尔奇的赎金,kao'er'qi'de'shu'jin
考雷斯塔兹,kao'lei'si'ta'zi
克尔苏加德,ke'er'su'jia'de
克尔苏加德之爪,ke'er'su'jia'de'zhi'zhao
科卡尔半人马的进攻,ke'ka'er'ban'ren'ma'de'jin'gong
克兰诺克马克雷德,ke'lan'nuo'ke'ma'ke'lei'de
克雷莫拉珀耀,ke'lei'mo'la'po'yao
克利多姆,ke'li'duo'mu
克里斯蒂娜灼魂,ke'li'si'di'na'zhuo'hun
克里斯托弗曼切斯特,ke'li'si'tuo'fu'man'qie'si'te
克里希宾奇维斯,ke'li'xi'bin'qi'wei'si
克伦寇死火,ke'lun'kou'si'huo
克罗克斯克迪德里克斯,ke'luo'ke'si'ke'di'de'li'ke'si
克洛玛留斯黑拳,ke'luo'ma'liu'si'hei'quan
克罗米,ke'luo'mi
克罗诺尔,ke'luo'nuo'er
克洛伊秘银弹,ke'luo'yi'mi'yin'dan
克罗之刃,ke'luo'zhi'ren
可怕多,ke'pa'duo
克瑞金火齿,ke'rui'jin'huo'chi
克索诺斯恐惧战马,ke'suo'nuo'si'kong'ju'zhan'ma
科特妮娜尔女士,ke'te'ni'na'er'nv'shi
科瓦斯普罗梅森,ke'wa'si'pu'luo'mei'sen
