啊擦擦,a'ca'ca
治多,zhi'duo
纸坊街,zhi'fang'jie
知感,zhi'gan
之目的,zhi'mu'di
蜘蛛王,zhi'zhu'wang
中发源,zhong'fa'yuan
中华巷,zhong'hua'xiang
中心广场,zhong'xin'guang'chang
钟以后,zhong'yi'hou
中庄,zhong'zhuang
州县,zhou'xian
主器件,zhu'qi'jian
朱诗化,zhu'shi'hua
抓面,zhua'mian
装囊,zhuang'nang
壮指头,zhuang'zhi'tou
自然人投资,zi'ran'ren'tou'zi
总层数,zong'ceng'shu
总寨,zong'zhai
总寨镇,zong'zhai'zhen
走给,zou'gei
做撒着,zuo'sa'zhe
作业写完了没,zuo'ye'xie'wan'le'mei
坐摘,zuo'zhai
坐着呗,zuo'zhe'bei
